arm,task,best_r2_mean,best_r2_std,steps_to_thr_mean,dead_frac_mean
continual,48,0.2801104751172044,0.07322882359096454,,0.5104166666666667
continual,49,0.27201899064372365,0.07727746559177234,,0.5173611111111112
continual,50,0.47793359358410586,0.24893756775607773,19.333333333333332,0.5208333333333334
continual,51,0.35519690445234336,0.14880430856033167,18.0,0.5243055555555556
continual,52,0.3964438499082084,0.19014546813122796,26.5,0.5277777777777778
continual,53,0.5060359200478509,0.21079773718911704,26.75,0.5381944444444445
continual,54,0.35110281469586324,0.22042877358335144,21.0,0.5625
continual,55,0.3301297797666564,0.2389808830117907,22.0,0.579861111111111
continual,56,0.3774313981721488,0.1774738422265874,32.333333333333336,0.59375
continual,57,0.33442873223220676,0.20221215979125637,28.5,0.5972222222222222
continual,58,0.27651084770877915,0.1378497759770482,30.0,0.6041666666666666
continual,59,0.28469310689988775,0.14256383119960553,23.0,0.6111111111111112
continual,60,0.4243187038262299,0.22638042811858802,27.333333333333332,0.625
continual,61,0.2550481046694688,0.06586311282757955,,0.6284722222222222
continual,62,0.26586128323384356,0.17424599348480166,15.0,0.6284722222222222
continual,63,0.4588934695465485,0.28373180863873143,19.666666666666668,0.6354166666666666
continual,64,0.22825070458185626,0.11113352613582712,40.0,0.642361111111111
continual,65,0.3292360134783697,0.22926590339732666,22.0,0.6527777777777778
continual,66,0.25962652159925975,0.24591397095627804,10.0,0.65625
continual,67,0.3521053603397666,0.218096477054245,7.0,0.6597222222222222
continual,68,0.4571469269997424,0.3087348589755713,16.0,0.6666666666666666
continual,69,0.47159955618815214,0.2013258656456254,27.4,0.6666666666666666
continual,70,0.4724019532659238,0.29723189525762944,17.333333333333332,0.670138888888889
continual,71,0.43227547421815055,0.2053858350929717,26.75,0.673611111111111
continual,72,0.3763949072034518,0.2921205737564396,11.0,0.6840277777777777
continual,73,0.4113284768647081,0.27497002533467935,26.0,0.6979166666666666
continual,74,0.19048569335288992,0.08270873939614867,,0.7048611111111112
continual,75,0.37514087542874136,0.2486675036936966,30.0,0.7118055555555555
continual,76,0.22563536561441597,0.13682438155997162,33.0,0.71875
continual,77,0.30462075505257774,0.2191998339068707,28.0,0.71875
continual,78,0.4227671099316412,0.21288657153857066,31.75,0.71875
continual,79,0.2574048738707795,0.2229320366664312,12.0,0.7291666666666666
continual,80,0.22503483774578625,0.18874182373437953,34.0,0.7291666666666666
continual,81,0.23151378943088974,0.14250930806076867,36.0,0.7361111111111112
continual,82,0.27551382106987393,0.2190123004853959,32.0,0.7430555555555557
continual,83,0.26904472517454286,0.21880811853079082,31.0,0.75
continual,84,0.24431231147372887,0.1639469233575712,31.0,0.75
continual,85,0.2278981429320802,0.07658121647764805,,0.7569444444444443
continual,86,0.2830913530313706,0.20484782011600078,32.5,0.7604166666666666
continual,87,0.45296660515768855,0.2671496864822913,24.75,0.7708333333333334
continual,88,0.3012838653007995,0.2499188033660628,28.5,0.7743055555555555
continual,89,0.3152675577473503,0.2472371731201077,27.0,0.7777777777777777
continual,90,0.2024813067088865,0.14191847945544891,38.0,0.7777777777777777
continual,91,0.2746480739719594,0.1547565994958247,36.5,0.78125
continual,92,0.2976383341551776,0.16160186831107332,28.0,0.7881944444444445
continual,93,0.21001644828071017,0.0952281673761016,38.0,0.7881944444444445
continual,94,0.41541749111369247,0.2963025467811542,16.333333333333332,0.7881944444444445
continual,95,0.4017562066179056,0.27141912446668276,17.0,0.7916666666666666
continual,96,0.19928135653534648,0.18635585044075523,21.0,0.795138888888889
continual,97,0.27415705967332127,0.21128782240112978,18.0,0.8020833333333334
continual,98,0.26416316083685093,0.13032615370872994,37.0,0.8020833333333334
continual,99,0.20532459780208842,0.2475816147853297,19.0,0.8020833333333334
continual,100,0.09772359822721238,0.014897239449805038,,0.8020833333333334
fresh,1,0.4300749053536656,0.18633425653611188,26.5,0.027777777777777776
fresh,2,0.4392708750296595,0.18134834239684033,27.5,0.03819444444444444
fresh,3,0.3608006505433488,0.09367776152676933,27.0,0.05902777777777777
fresh,4,0.41208892047926743,0.1917182529929593,26.0,0.041666666666666664
fresh,5,0.480636863939126,0.17874130400711707,28.333333333333332,0.06944444444444443
fresh,6,0.49521107586874163,0.23037268205969716,24.333333333333332,0.0625
fresh,7,0.5196519261642475,0.16300679911406665,23.25,0.024305555555555556
fresh,8,0.5025583691800932,0.17498397804482327,25.0,0.031249999999999997
fresh,9,0.48485831961310444,0.1747331194041799,26.0,0.09027777777777779
fresh,10,0.49432919952543397,0.19755467643549554,26.5,0.06944444444444445
fresh,11,0.40012616321767425,0.1043108931690169,28.5,0.034722222222222224
fresh,12,0.3840021219727761,0.14431588624291347,31.333333333333332,0.07291666666666667
fresh,13,0.48826931758952075,0.17007565754009327,24.333333333333332,0.052083333333333336
fresh,14,0.4548459035257724,0.2334602573717536,28.0,0.06944444444444443
fresh,15,0.4745676184149558,0.22072600573646797,30.25,0.05555555555555556
fresh,16,0.4107580890091443,0.15837959679620423,29.5,0.13541666666666666
fresh,17,0.48715437919604293,0.20681576589531256,26.0,0.052083333333333336
fresh,18,0.5702320094685417,0.1864814947131675,27.25,0.06597222222222222
fresh,19,0.5149532353626991,0.17287911933354544,29.75,0.06944444444444445
fresh,20,0.4721949165588087,0.18332148480310714,29.333333333333332,0.09027777777777778
fresh,21,0.41244304190984366,0.063852851488156,33.25,0.03819444444444444
fresh,22,0.3850267583058404,0.1449540593811029,33.5,0.05902777777777777
fresh,23,0.42311059748548036,0.06945818706578737,36.25,0.03125
fresh,24,0.4415614555024047,0.14860464056928166,25.666666666666668,0.041666666666666664
fresh,25,0.5189152170994645,0.14758727399374166,29.0,0.003472222222222222
fresh,26,0.46104800236174337,0.16461766283265594,31.25,0.006944444444444444
fresh,27,0.49845308257505505,0.11650718975191686,30.2,0.01736111111111111
fresh,28,0.5458214607274454,0.19822479674000335,26.0,0.03125
fresh,29,0.4045244086374467,0.12975982901538533,31.0,0.045138888888888895
fresh,30,0.4663930672071593,0.2213612703302106,25.333333333333332,0.09722222222222222
fresh,31,0.42469847692807555,0.19141551455812092,19.5,0.03125
fresh,32,0.3733861515865879,0.2070940383037923,18.0,0.03819444444444445
fresh,33,0.3132140336290135,0.19861227080825533,23.0,0.09375
fresh,34,0.35945054819141453,0.16098834174636414,14.0,0.027777777777777776
fresh,35,0.4224671264399653,0.19224664449812334,27.333333333333332,0.09027777777777779
fresh,36,0.3807543535810565,0.06921284986155635,36.333333333333336,0.020833333333333332
fresh,37,0.4437535111899857,0.14315868624513822,28.666666666666668,0.027777777777777776
fresh,38,0.41810857927715867,0.09554567792390423,34.333333333333336,0.03819444444444445
fresh,39,0.4226252628203659,0.1668120289554753,23.5,0.03125
fresh,40,0.4829949918933116,0.18108438861295642,25.0,0.041666666666666664
